button_pressed,time,av,ax,ay,az
0,2021-04-13 15:32:28 2555,1012.2875085666127,585,-15,826
0,2021-04-13 15:32:28 2601,1006.334934303684,569,-7,830
0,2021-04-13 15:32:28 2651,1129.3511411425588,631,-93,932
0,2021-04-13 15:32:28 2701,1131.4194624452948,507,105,1006
0,2021-04-13 15:32:29 2751,1023.8251803896992,421,284,889
0,2021-04-13 15:32:29 2801,1055.2203561342058,487,15,936
0,2021-04-13 15:32:29 2851,1069.9785044569821,507,78,939
0,2021-04-13 15:32:29 2901,1057.397749193746,495,109,928
0,2021-04-13 15:32:29 2951,1041.8968279057192,518,85,900
0,2021-04-13 15:32:29 3001,1007.5648862480272,499,105,869
0,2021-04-13 15:32:29 3051,1006.5430939607106,514,113,858
0,2021-04-13 15:32:29 3101,1003.6154642092757,530,62,850
0,2021-04-13 15:32:29 3151,978.1927212978023,514,148,819
0,2021-04-13 15:32:29 3201,1117.4274025635848,612,-74,932
0,2021-04-13 15:32:29 3251,1159.4934238709593,538,66,1025
1000,2021-04-13 15:32:29 3301,1008.2598871322809,510,218,842
1000,2021-04-13 15:32:29 3351,1049.496069549572,600,11,861
0,2021-04-13 15:32:29 3401,1116.914499861113,592,-15,947
0,2021-04-13 15:32:29 3451,1034.9004783069722,487,171,897
0,2021-04-13 15:32:29 3501,1042.1660136465782,507,230,881
0,2021-04-13 15:32:29 3551,1085.1621998576986,600,19,904
0,2021-04-13 15:32:29 3601,1063.267134825487,600,124,869
0,2021-04-13 15:32:29 3651,1011.1350058226647,604,113,803
0,2021-04-13 15:32:29 3701,1017.603557383719,565,144,834
0,2021-04-13 15:32:29 3751,1089.9788988783223,643,74,877
0,2021-04-13 15:32:29 3802,807.2985816908141,549,163,569
0,2021-04-13 15:32:30 3851,988.7977548518201,530,89,830
0,2021-04-13 15:32:30 3901,931.056389269737,549,128,741
0,2021-04-13 15:32:30 3951,1007.249720774347,526,124,850
0,2021-04-13 15:32:30 4001,1048.719695628913,534,156,889
0,2021-04-13 15:32:30 4051,1063.5572387041518,573,140,885
0,2021-04-13 15:32:30 4101,1049.8923754366444,569,128,873
0,2021-04-13 15:32:30 4151,1044.395997694361,581,109,861
0,2021-04-13 15:32:30 4201,1061.1140372269138,569,109,889
0,2021-04-13 15:32:30 4251,1073.3620078985468,573,81,904
0,2021-04-13 15:32:30 4301,1017.6074881799957,514,152,865
0,2021-04-13 15:32:30 4351,984.6857366693193,534,117,819
0,2021-04-13 15:32:30 4401,1037.6786593160716,546,50,881
0,2021-04-13 15:32:30 4451,1055.445403609301,542,101,900
0,2021-04-13 15:32:30 4501,1017.8826061977875,522,124,865
0,2021-04-13 15:32:30 4551,1003.4385880560902,534,113,842
0,2021-04-13 15:32:30 4602,966.7088496543311,495,85,826
0,2021-04-13 15:32:30 4651,953.4935762762117,421,-97,850
0,2021-04-13 15:32:30 4701,1097.1503998996673,483,-257,951
0,2021-04-13 15:32:30 4751,985.9923934797874,456,-249,838
0,2021-04-13 15:32:30 4801,984.565894188906,265,-132,939
0,2021-04-13 15:32:30 4851,1081.4055668434485,487,-70,963
0,2021-04-13 15:32:31 4901,1047.8482714591842,495,-81,920
0,2021-04-13 15:32:31 4951,1204.0153653504592,538,-105,1072
0,2021-04-13 15:32:31 5001,1104.5510400158066,374,-261,1006
0,2021-04-13 15:32:31 5051,1052.8000759878391,374,-304,936
0,2021-04-13 15:32:31 5101,985.7144616977068,312,-167,920
0,2021-04-13 15:32:31 5151,1032.440797334162,183,-261,982
0,2021-04-13 15:32:31 5201,1131.3522881932047,163,-483,1010
0,2021-04-13 15:32:31 5251,1062.0668528863896,549,-292,861
0,2021-04-13 15:32:31 5303,850.2123264220533,-253,-464,666
0,2021-04-13 15:32:31 5351,1085.919886547806,-265,-799,686
0,2021-04-13 15:32:32 5402,785.7105064844176,-339,-546,452
0,2021-04-13 15:32:32 5451,676.9231861888023,397,50,546
0,2021-04-13 15:32:32 5501,924.7534806639011,148,39,912
0,2021-04-13 15:32:32 5551,1544.263578538327,-503,-171,1450
0,2021-04-13 15:32:32 5601,1606.8335321370412,-947,-409,1232
0,2021-04-13 15:32:32 5652,1148.832450795154,-46,-366,1088
0,2021-04-13 15:32:32 5701,1294.9432419994323,113,3,1290
0,2021-04-13 15:32:32 5764,1084.1037773202343,0,-15,1084
0,2021-04-13 15:32:32 5801,872.1381771256204,-66,370,787
0,2021-04-13 15:32:32 5851,939.0553764288877,-218,226,885
0,2021-04-13 15:32:32 5901,1248.0276439246047,-46,89,1244
0,2021-04-13 15:32:32 5951,1168.3415596476914,366,179,1095
0,2021-04-13 15:32:32 6001,866.6083313700601,448,35,741
0,2021-04-13 15:32:32 6051,874.0171623028921,288,-101,819
0,2021-04-13 15:32:32 6101,1361.5502194190267,-183,23,1349
0,2021-04-13 15:32:32 6151,1202.0103992894572,292,3,1166
0,2021-04-13 15:32:32 6202,1263.1254886194008,475,31,1170
0,2021-04-13 15:32:32 6251,1028.892122625108,503,-191,877
0,2021-04-13 15:32:32 6301,1024.980975433203,113,-429,924
0,2021-04-13 15:32:32 6351,930.0849423574172,339,-304,811
0,2021-04-13 15:32:32 6401,1174.7059206456738,526,-167,1037
0,2021-04-13 15:32:32 6451,987.948885317454,237,-175,943
0,2021-04-13 15:32:32 6501,910.7683569382502,-3,-179,893
0,2021-04-13 15:32:32 6551,941.9416117785645,167,-234,897
0,2021-04-13 15:32:32 6601,1038.8325177813795,288,-15,998
0,2021-04-13 15:32:32 6651,865.135249541943,-15,3,865
0,2021-04-13 15:32:32 6701,1363.079234674199,-670,-261,1158
0,2021-04-13 15:32:32 6751,1117.6108446145286,-670,-195,873
0,2021-04-13 15:32:32 6801,1202.0985816479445,-210,-179,1170
0,2021-04-13 15:32:32 6851,1072.7576613569347,-152,-292,1021
0,2021-04-13 15:32:33 6901,911.9111798854096,214,-175,869
0,2021-04-13 15:32:33 6951,1176.9354272856265,-183,-218,1142
0,2021-04-13 15:32:33 7002,1067.6872201164533,-54,-148,1056
0,2021-04-13 15:32:33 7053,1581.341519090674,50,-70,1579
0,2021-04-13 15:32:33 7101,1248.1526348968703,253,-74,1220
0,2021-04-13 15:32:33 7151,1082.8873440944815,530,-273,904
0,2021-04-13 15:32:33 7201,842.11044406301,569,-390,483
0,2021-04-13 15:32:33 7251,836.3468180127189,448,-366,604
0,2021-04-13 15:32:33 7301,878.4725379885247,343,-241,772
0,2021-04-13 15:32:33 7351,1217.3914736024726,-308,-413,1103
0,2021-04-13 15:32:33 7401,1267.844233334679,-288,-479,1138
0,2021-04-13 15:32:33 7451,1197.734528182268,-66,-546,1064
0,2021-04-13 15:32:33 7501,879.9028355449253,66,-417,772
0,2021-04-13 15:32:33 7551,1455.866065268368,15,-936,1115
0,2021-04-13 15:32:33 7601,1061.2586866546724,15,-838,651
0,2021-04-13 15:32:33 7651,1081.7661484812695,-171,-881,604
0,2021-04-13 15:32:33 7701,776.1121053043819,-15,-698,339
0,2021-04-13 15:32:33 7751,745.2261401749137,-109,-616,405
0,2021-04-13 15:32:33 7802,678.1644343372778,27,-257,627
0,2021-04-13 15:32:33 7865,716.7203080700309,222,-510,452
0,2021-04-13 15:32:34 7901,793.1437448533526,-54,-444,655
0,2021-04-13 15:32:34 7951,646.8802052930666,198,-245,565
0,2021-04-13 15:32:34 8002,1265.0320154051437,-140,-1041,705
0,2021-04-13 15:32:34 8053,1263.9719142449328,569,-542,990
0,2021-04-13 15:32:34 8101,1062.4692936739395,401,-522,834
0,2021-04-13 15:32:34 8151,1409.7208943617172,230,-842,1107
0,2021-04-13 15:32:34 8201,1000.8801127008169,436,-471,768
0,2021-04-13 15:32:34 8251,1121.0789445886494,-187,-768,795
0,2021-04-13 15:32:34 8301,900.0744413658239,647,-518,351
0,2021-04-13 15:32:34 8351,1083.2155833443314,-382,-546,854
0,2021-04-13 15:32:34 8401,1502.660307587846,596,-444,1306
0,2021-04-13 15:32:34 8451,1461.3918023582862,-343,-721,1224
0,2021-04-13 15:32:34 8501,1057.0666960982169,210,-429,943
0,2021-04-13 15:32:34 8551,794.036523089461,-171,-518,577
0,2021-04-13 15:32:34 8602,561.159513863928,120,-530,140
0,2021-04-13 15:32:34 8651,1058.7738190945222,861,15,616
0,2021-04-13 15:32:34 8701,1003.6737517739517,592,136,799
0,2021-04-13 15:32:34 8751,1422.2763444563086,1333,70,491
0,2021-04-13 15:32:34 8801,1450.570232701609,1283,-136,663
0,2021-04-13 15:32:34 8851,1200.7318601586285,694,280,939
0,2021-04-13 15:32:35 8901,961.2658321192947,304,-120,904
0,2021-04-13 15:32:35 8951,1015.9532469557839,854,214,507
0,2021-04-13 15:32:35 9003,1186.4514317914577,1029,351,475
0,2021-04-13 15:32:35 9054,1086.4520237912027,924,-109,561
0,2021-04-13 15:32:35 9101,1471.6619856475195,1310,315,592
0,2021-04-13 15:32:35 9151,907.731788580746,460,101,776
0,2021-04-13 15:32:35 9201,1050.754966678721,889,374,417
0,2021-04-13 15:32:35 9251,1115.2206059789246,15,464,1014
0,2021-04-13 15:32:35 9301,1530.64528875896,861,475,1173
0,2021-04-13 15:32:35 9351,1311.6421005746956,-444,737,990
0,2021-04-13 15:32:35 9402,1379.273359417922,-791,183,1115
0,2021-04-13 15:32:35 9451,1152.7345748263128,-588,163,978
0,2021-04-13 15:32:35 9501,1508.9602380447272,-1064,113,1064
0,2021-04-13 15:32:35 9551,934.6560864831513,-577,58,733
0,2021-04-13 15:32:35 9601,1548.6477972734795,-967,-514,1095
0,2021-04-13 15:32:35 9652,767.0065188771214,31,-643,417
0,2021-04-13 15:32:35 9701,2200.528572866074,869,362,1989
0,2021-04-13 15:32:35 9751,1353.4005319933933,42,452,1275
0,2021-04-13 15:32:35 9801,919.0130575786179,339,608,600
0,2021-04-13 15:32:35 9851,617.2139013340513,-432,-323,300
0,2021-04-13 15:32:36 9901,1313.14089114611,-897,-7,959
0,2021-04-13 15:32:36 9951,895.2061215161567,-733,-237,456
0,2021-04-13 15:32:36 10002,1306.1799263501182,-760,191,1045
0,2021-04-13 15:32:36 10053,1263.6985400007393,721,522,897
0,2021-04-13 15:32:36 10101,857.422299686683,-31,136,846
0,2021-04-13 15:32:36 10151,785.0917143875612,588,-425,300
0,2021-04-13 15:32:36 10202,477.8932935290053,117,-417,202
0,2021-04-13 15:32:36 10251,868.1353581095519,335,-97,795
0,2021-04-13 15:32:36 10301,714.7873809742307,-390,-210,561
0,2021-04-13 15:32:36 10351,490.57007654360655,-425,3,245
0,2021-04-13 15:32:36 10401,628.5578732304608,-163,296,530
0,2021-04-13 15:32:36 10451,1678.4689451997615,331,569,1544
0,2021-04-13 15:32:36 10501,1887.15155724176,-132,1466,1181
0,2021-04-13 15:32:36 10551,1759.6184245455036,-97,1392,1072
0,2021-04-13 15:32:36 10601,1238.756231064046,-222,772,943
0,2021-04-13 15:32:36 10651,1481.0013504382769,-148,1294,705
0,2021-04-13 15:32:36 10701,1399.5388526225345,140,1103,850
0,2021-04-13 15:32:36 10751,453.57469065193663,432,85,109
0,2021-04-13 15:32:36 10801,495.2686139863902,483,-11,-109
0,2021-04-13 15:32:36 10851,1088.7433122641903,1049,81,280
0,2021-04-13 15:32:37 10901,2014.282006075614,1244,986,1240
0,2021-04-13 15:32:37 10951,2127.0225668760545,-1540,815,1220
0,2021-04-13 15:32:37 11002,1434.5145520349383,-1014,744,690
0,2021-04-13 15:32:37 11053,1489.0940198657706,-889,686,978
0,2021-04-13 15:32:37 11101,1016.4270755937191,-542,612,604
0,2021-04-13 15:32:37 11151,969.9288633709175,-612,577,483
0,2021-04-13 15:32:37 11201,680.5306752821654,-643,163,152
0,2021-04-13 15:32:37 11251,730.0801325881974,-522,378,343
0,2021-04-13 15:32:37 11301,672.3555606968682,-510,429,89
0,2021-04-13 15:32:37 11351,868.6852134116248,-803,253,214
0,2021-04-13 15:32:37 11401,884.3585245815184,-616,397,495
0,2021-04-13 15:32:37 11451,993.9361146472141,-577,448,674
0,2021-04-13 15:32:37 11501,1132.4844369791579,-916,253,616
0,2021-04-13 15:32:37 11551,792.9558625800051,-577,265,475
0,2021-04-13 15:32:37 11601,1496.1166398379505,-1259,678,440
0,2021-04-13 15:32:37 11659,1745.3681560060616,-565,1411,858
0,2021-04-13 15:32:37 11701,3074.6001366031323,-1337,1989,1926
0,2021-04-13 15:32:37 11751,3445.049056254497,-1989,1989,1989
0,2021-04-13 15:32:37 11802,2785.072171416748,1415,1989,-1341
0,2021-04-13 15:32:38 11851,2961.996961510933,-928,1989,-1989
0,2021-04-13 15:32:38 11901,2651.6249734832413,-1563,795,-1989
0,2021-04-13 15:32:38 11951,3445.049056254497,1989,1989,-1989
0,2021-04-13 15:32:38 12001,2862.366503437322,-1989,1989,530
0,2021-04-13 15:32:38 12052,2739.4534126354474,210,1989,1872
0,2021-04-13 15:32:38 12101,2824.2299835530393,-873,1989,1805
0,2021-04-13 15:32:38 12151,266.3099697720684,195,120,136
0,2021-04-13 15:32:38 12201,1026.2100174915465,951,335,191
0,2021-04-13 15:32:38 12251,1021.1385802132833,468,748,514
0,2021-04-13 15:32:38 12301,936.5068072363382,308,705,534
0,2021-04-13 15:32:38 12351,866.7231391857495,109,608,608
0,2021-04-13 15:32:38 12401,679.5711883239312,237,432,468
0,2021-04-13 15:32:38 12451,930.4939548433401,273,631,627
0,2021-04-13 15:32:38 12501,1010.1133599750079,202,678,721
0,2021-04-13 15:32:38 12551,1048.0429380516812,113,717,756
0,2021-04-13 15:32:38 12602,998.5774882301323,136,694,705
0,2021-04-13 15:32:38 12652,1005.750466069989,163,682,721
0,2021-04-13 15:32:38 12701,1011.2655437618746,292,655,713
0,2021-04-13 15:32:38 12751,1001.1638227582937,167,702,694
0,2021-04-13 15:32:39 12801,956.3838141666765,175,643,686
0,2021-04-13 15:32:39 12852,980.778262401854,214,643,709
0,2021-04-13 15:32:39 12901,1040.4729693749857,198,678,764
0,2021-04-13 15:32:39 12951,1073.0223669616585,198,702,787
0,2021-04-13 15:32:39 13001,1060.3556007302457,163,717,764
0,2021-04-13 15:32:39 13052,1053.7314648429171,230,713,741
0,2021-04-13 15:32:39 13101,998.7021578028156,234,659,713
0,2021-04-13 15:32:39 13151,956.1908805254315,120,651,690
0,2021-04-13 15:32:39 13201,1008.8082077382202,163,678,729
0,2021-04-13 15:32:39 13251,1029.55912894792,202,678,748
0,2021-04-13 15:32:39 13301,1091.3418346237809,175,709,811
0,2021-04-13 15:32:39 13351,1020.2671218852444,234,670,733
0,2021-04-13 15:32:39 13402,968.6433812296453,195,647,694
0,2021-04-13 15:32:39 13451,900.7297041843352,163,592,659
0,2021-04-13 15:32:39 13501,892.1866396668356,136,549,690
0,2021-04-13 15:32:39 13551,836.4843094762747,269,468,639
0,2021-04-13 15:32:39 13601,668.4025733044421,-113,448,483
0,2021-04-13 15:32:39 13653,2629.557757494594,1482,1989,873
0,2021-04-13 15:32:39 13701,2813.0415922982725,-31,1989,1989
0,2021-04-13 15:32:39 13751,2588.1255765514934,1392,1989,-897
0,2021-04-13 15:32:40 13801,2915.8302419722586,768,1989,-1989
0,2021-04-13 15:32:40 13851,2860.89601348948,1989,522,-1989
0,2021-04-13 15:32:40 13901,3406.8058353830497,1922,1989,-1989
0,2021-04-13 15:32:40 13951,3445.049056254497,1989,1989,1989
0,2021-04-13 15:32:40 14001,2822.5871111446677,234,1989,1989
0,2021-04-13 15:32:40 14052,2295.3407154494516,-1138,1989,132
0,2021-04-13 15:32:40 14101,861.2845058399693,-331,-15,-795
0,2021-04-13 15:32:40 14151,1244.8714793102138,-331,912,780
0,2021-04-13 15:32:40 14202,1247.9266805385644,136,971,772
0,2021-04-13 15:32:40 14251,882.2476976450548,234,686,503
0,2021-04-13 15:32:40 14301,1098.3414769551407,331,733,748
0,2021-04-13 15:32:40 14351,861.3129512552333,50,612,604
0,2021-04-13 15:32:40 14401,993.2013894472761,237,678,686
0,2021-04-13 15:32:40 14451,1081.362566394824,280,729,748
0,2021-04-13 15:32:40 14501,1116.5240704973628,175,760,799
0,2021-04-13 15:32:40 14551,1075.346455799246,105,737,776
0,2021-04-13 15:32:40 14601,1106.8360312169098,218,721,811
0,2021-04-13 15:32:40 14651,995.4064496475798,109,643,752
0,2021-04-13 15:32:40 14701,923.2540278818176,257,557,690
0,2021-04-13 15:32:41 14751,925.4566440411998,245,542,709
0,2021-04-13 15:32:41 14801,929.7026406330144,159,565,721
0,2021-04-13 15:32:41 14851,974.3649213718646,241,585,741
0,2021-04-13 15:32:41 14901,982.4891856911199,234,577,760
0,2021-04-13 15:32:41 14951,960.7132766856092,280,549,737
0,2021-04-13 15:32:41 15002,1014.7300133533057,206,596,795
0,2021-04-13 15:32:41 15053,1026.6903135804876,222,600,803
0,2021-04-13 15:32:41 15101,1005.5416450848767,187,592,791
0,2021-04-13 15:32:41 15151,1009.4211212373159,249,581,787
0,2021-04-13 15:32:41 15201,1019.8794046356658,253,592,791
0,2021-04-13 15:32:41 15251,1021.7754156369197,237,616,780
0,2021-04-13 15:32:41 15301,996.5244603119384,206,585,780
0,2021-04-13 15:32:41 15352,1032.8121804084226,206,616,803
0,2021-04-13 15:32:41 15401,1017.862957376876,198,604,795
0,2021-04-13 15:32:41 15451,996.5244603119384,206,585,780
0,2021-04-13 15:32:41 15501,982.9038610159184,210,592,756
0,2021-04-13 15:32:41 15551,993.5411415739159,198,588,776
0,2021-04-13 15:32:41 15601,944.292857115842,234,542,737
0,2021-04-13 15:32:41 15651,413.7801348542484,222,39,347
0,2021-04-13 15:32:41 15701,1697.596830817023,713,1521,245
0,2021-04-13 15:32:42 15751,2679.9787312588883,1458,1989,1049
0,2021-04-13 15:32:42 15802,2525.6723857222655,42,1989,1556
0,2021-04-13 15:32:42 15851,2815.1396057744632,113,1989,-1989
0,2021-04-13 15:32:42 15901,2266.25175124036,-760,776,-1989
0,2021-04-13 15:32:42 15951,2735.484966144029,1361,1294,-1989
0,2021-04-13 15:32:42 16001,3374.4240990130447,1864,1989,-1989
0,2021-04-13 15:32:42 16052,3445.049056254497,1989,1989,1989
0,2021-04-13 15:32:42 16101,2948.807725166224,885,1989,1989
0,2021-04-13 15:32:42 16151,2980.677439777743,-986,1989,1989
0,2021-04-13 15:32:42 16201,706.8939100034743,-339,557,-273
0,2021-04-13 15:32:42 16251,1159.5542246915406,846,635,475
0,2021-04-13 15:32:42 16301,1078.163716696124,7,932,542
0,2021-04-13 15:32:42 16351,1078.956440269949,323,943,413
0,2021-04-13 15:32:42 16401,1003.4884154787239,218,869,452
0,2021-04-13 15:32:42 16451,994.8673278382399,276,768,569
0,2021-04-13 15:32:42 16501,903.5850817714954,261,596,627
0,2021-04-13 15:32:42 16551,782.6678733664746,7,354,698
0,2021-04-13 15:32:42 16602,877.1778610977366,-117,534,686
0,2021-04-13 15:32:42 16652,1019.4473993296565,276,869,456
0,2021-04-13 15:32:43 16701,1800.5999000333195,1220,772,1076
0,2021-04-13 15:32:43 16751,1185.3830604492373,261,604,986
0,2021-04-13 15:32:43 16801,1075.219977492978,-604,31,889
0,2021-04-13 15:32:43 16851,842.3289143796502,85,682,487
0,2021-04-13 15:32:43 16901,1190.4847752071423,-101,382,1123
0,2021-04-13 15:32:43 16951,929.3852807097818,-74,109,920
0,2021-04-13 15:32:43 17001,920.228775903036,534,136,737
0,2021-04-13 15:32:43 17052,1229.7666445305792,729,214,967
0,2021-04-13 15:32:43 17101,1013.0419537215623,202,241,963
0,2021-04-13 15:32:43 17151,957.2867908834844,374,19,881
0,2021-04-13 15:32:43 17201,1064.1644609739606,335,-11,1010
0,2021-04-13 15:32:43 17251,865.5922827752105,460,19,733
0,2021-04-13 15:32:43 17301,1150.5533451344184,-202,315,1088
0,2021-04-13 15:32:43 17351,797.030739683232,175,93,772
0,2021-04-13 15:32:43 17402,924.1698978001826,-140,269,873
0,2021-04-13 15:32:43 17451,740.5923305030913,144,46,725
0,2021-04-13 15:32:43 17501,954.8214492772981,-308,284,858
0,2021-04-13 15:32:43 17551,783.5387673880598,-50,312,717
0,2021-04-13 15:32:43 17601,1059.3082648596678,-234,413,947
0,2021-04-13 15:32:43 17652,1180.0555071690485,-659,401,893
0,2021-04-13 15:32:44 17701,1147.8231571108852,-479,499,916
0,2021-04-13 15:32:44 17751,884.7615497974581,-109,471,741
0,2021-04-13 15:32:44 17801,920.7448072077301,-81,471,787
0,2021-04-13 15:32:44 17851,1128.0128545366847,-421,616,846
0,2021-04-13 15:32:44 17901,1149.961303696781,-265,705,869
0,2021-04-13 15:32:44 17951,1190.7447249515742,-159,744,916
0,2021-04-13 15:32:44 18001,1164.2138978727235,-148,737,889
0,2021-04-13 15:32:44 18052,1134.1807616072492,-245,705,854
0,2021-04-13 15:32:44 18101,1154.885708630945,-635,670,694
0,2021-04-13 15:32:44 18151,796.8726372513992,-109,530,585
0,2021-04-13 15:32:44 18202,709.6773914956007,-503,253,432
0,2021-04-13 15:32:44 18251,721.5282392256037,-581,261,339
0,2021-04-13 15:32:44 18301,631.0927031744227,-393,370,327
0,2021-04-13 15:32:44 18351,812.5890720407209,-518,456,429
0,2021-04-13 15:32:44 18401,1040.9500468322194,-468,717,592
0,2021-04-13 15:32:44 18451,887.7330679883453,-475,659,358
0,2021-04-13 15:32:44 18501,915.4419697610548,-339,752,397
0,2021-04-13 15:32:44 18551,917.4355563198976,-460,698,378
0,2021-04-13 15:32:44 18601,871.2140953864325,-382,741,253
0,2021-04-13 15:32:44 18652,984.2382841568398,-674,705,132
0,2021-04-13 15:32:45 18701,955.902191649334,-553,752,206
0,2021-04-13 15:32:45 18751,1159.1458061866074,-787,815,245
0,2021-04-13 15:32:45 18801,1102.5289111855525,-737,776,265
0,2021-04-13 15:32:45 18851,1134.503415596445,-877,663,280
0,2021-04-13 15:32:45 18901,1207.830286091552,-795,850,323
0,2021-04-13 15:32:45 18951,1348.3623400258552,-971,854,382
0,2021-04-13 15:32:45 19002,1319.636692427124,-889,924,312
0,2021-04-13 15:32:45 19053,1337.2019294033344,-936,877,378
0,2021-04-13 15:32:45 19101,1143.8942258792986,-787,678,479
0,2021-04-13 15:32:45 19151,1206.435244843253,-865,694,475
0,2021-04-13 15:32:45 19201,1182.201759430259,-838,674,491
0,2021-04-13 15:32:45 19251,883.8964871522004,-280,573,612
0,2021-04-13 15:32:45 19301,987.2973209727655,-588,604,514
0,2021-04-13 15:32:45 19351,1122.539977016409,-904,304,592
0,2021-04-13 15:32:45 19401,1115.896948647141,-776,561,573
0,2021-04-13 15:32:45 19451,1579.8395488150054,-1095,912,682
0,2021-04-13 15:32:45 19501,2448.2430434905764,-1879,822,1337
0,2021-04-13 15:32:45 19551,2086.7163199630177,-1505,756,1232
0,2021-04-13 15:32:45 19601,2126.2826717066573,-963,1197,1470
0,2021-04-13 15:32:45 19651,1930.0533671378105,-577,1489,1084
0,2021-04-13 15:32:46 19701,892.3502675519294,-85,858,230
0,2021-04-13 15:32:46 19751,776.9491617860206,-429,635,-128
0,2021-04-13 15:32:46 19802,567.261844301201,-491,-7,-284
0,2021-04-13 15:32:46 19851,672.4916356357155,-444,-335,-378
0,2021-04-13 15:32:46 19901,112.29425630903836,-27,0,-109
0,2021-04-13 15:32:46 19951,616.1752997321461,58,612,-42
0,2021-04-13 15:32:46 20001,1182.8824962776312,581,1025,105
0,2021-04-13 15:32:46 20052,1847.3876149850091,1224,1349,308
0,2021-04-13 15:32:46 20101,1231.980519326503,936,752,276
0,2021-04-13 15:32:46 20151,854.4009597372886,499,690,-70
0,2021-04-13 15:32:46 20201,843.8032946131462,604,468,-358
0,2021-04-13 15:32:46 20251,1366.5306436373828,1115,425,-666
0,2021-04-13 15:32:46 20301,825.703336556175,429,351,-612
0,2021-04-13 15:32:46 20351,1103.8704634149788,261,35,-1072
0,2021-04-13 15:32:46 20401,1940.5079231994905,-167,861,-1731
0,2021-04-13 15:32:46 20451,1782.8687556856225,-276,1142,-1341
0,2021-04-13 15:32:46 20501,1440.0156249152299,-85,374,-1388
0,2021-04-13 15:32:46 20551,1240.952456784707,-335,397,-1127
0,2021-04-13 15:32:46 20602,909.064354157614,-405,222,-783
0,2021-04-13 15:32:47 20654,912.0148025114505,-179,97,-889
0,2021-04-13 15:32:47 20701,961.0561898245076,-218,-3,-936
0,2021-04-13 15:32:47 20751,1210.264847047951,-343,124,-1154
0,2021-04-13 15:32:47 20801,1200.002083331525,-257,120,-1166
0,2021-04-13 15:32:47 20851,1365.5702105713935,-113,-1322,-323
0,2021-04-13 15:32:47 20901,1188.6382965393636,-179,-308,-1134
0,2021-04-13 15:32:47 20951,1155.1320270860815,-339,265,-1072
0,2021-04-13 15:32:47 21001,1027.672126701897,74,3,-1025
0,2021-04-13 15:32:47 21053,1245.2385313665811,-507,261,-1107
0,2021-04-13 15:32:47 21101,1258.362030577846,-725,85,-1025
0,2021-04-13 15:32:47 21151,1950.1707617539548,179,986,-1673
0,2021-04-13 15:32:47 21201,990.3948707460071,-327,113,-928
0,2021-04-13 15:32:47 21251,1331.8746187235495,-456,425,-1177
0,2021-04-13 15:32:47 21301,1203.5746757056663,-752,-148,-928
0,2021-04-13 15:32:47 21351,870.9133137115313,-148,269,-815
0,2021-04-13 15:32:47 21402,1016.4831528362878,-483,-50,-893
0,2021-04-13 15:32:47 21451,1139.2914464701296,-507,230,-994
